system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146041_20230218_5,6.26,2023-02-18,,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146041_20230218_6,6.26,2023-02-18,,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146041_20230218_7,6.26,2023-02-18,,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146041_20230218_8,6.26,2023-02-18,,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146041_20230218_9,6.26,2023-02-18,,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230306_0,0.02,2023-03-06,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230306_1,0.02,2023-03-06,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230306_2,0.02,2023-03-06,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230306_3,0.02,2023-03-06,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146041_20230306_4,0.02,2023-03-06,,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146041_20230306_5,0.02,2023-03-06,,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146041_20230306_6,0.02,2023-03-06,,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146041_20230306_7,0.02,2023-03-06,,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146041_20230306_8,0.02,2023-03-06,,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146041_20230306_9,0.02,2023-03-06,,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230322_0,11.48,2023-03-22,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230322_1,11.48,2023-03-22,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230322_2,11.48,2023-03-22,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230322_3,11.48,2023-03-22,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
